Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524711377933,729208764061,0.0,0.0,0.0
android.sensor.gyroscope,1524711377953,729228756249,0.0,0.0,0.0
android.sensor.gyroscope,1524711377973,729248748436,-0.0016231562,0.018535396,-0.034906585
android.sensor.gyroscope,1524711377993,729268768749,0.002984513,0.019355701,-0.034348078
android.sensor.gyroscope,1524711378013,729288760936,0.0032637657,0.028082348,-0.048537605
android.sensor.gyroscope,1524711378034,729308751561,0.0019024089,0.020717058,-0.033807028
android.sensor.gyroscope,1524711378053,729328773436,0.0,0.0,0.0
android.sensor.gyroscope,1524711378073,729348765624,0.0,0.0,0.0
android.sensor.gyroscope,1524711378093,729368754686,0.0,0.038990654,-0.006265732
android.sensor.gyroscope,1524711378113,729388745311,0.0,0.03926991,-0.00572468
android.sensor.gyroscope,1524711378133,729408768749,0.0,0.0,0.0
android.sensor.gyroscope,1524711378153,729428759374,0.0,0.0,0.0
android.sensor.gyroscope,1524711378173,729448749999,0.0,0.0,0.0
android.sensor.gyroscope,1524711378193,729468771874,0.0,0.0,0.0
android.sensor.gyroscope,1524711378213,729488762499,0.0,0.0,0.0
android.sensor.gyroscope,1524711378233,729508753124,0.0,0.0,0.0
android.sensor.gyroscope,1524711378253,729528745311,-0.002443461,0.056164697,0.0021816615
android.sensor.gyroscope,1524711378273,729548767186,0.0038048178,0.03926991,0.0027227136
android.sensor.gyroscope,1524711378293,729568759374,0.0046251225,0.05454154,0.012531464
android.sensor.gyroscope,1524711378313,729588749999,0.0027227136,0.03817035,0.009808751
android.sensor.gyroscope,1524711378333,729608771874,0.004363323,0.054262288,0.013892821
android.sensor.gyroscope,1524711378353,729628762499,0.0027227136,0.03817035,0.009267698
android.sensor.gyroscope,1524711378373,729648753124,0.0049043754,0.054803338,0.0109083075
android.sensor.gyroscope,1524711378393,729668745311,0.0,0.0,0.0
android.sensor.gyroscope,1524711378413,729688767186,0.0,0.0,0.0
android.sensor.gyroscope,1524711378433,729708757811,0.0,0.0,0.0
android.sensor.gyroscope,1524711378453,729728746874,0.0,0.0,0.0
android.sensor.gyroscope,1524711378473,729748770311,0.011990412,0.05454154,-0.005986479
android.sensor.gyroscope,1524711378493,729768760936,0.0,0.0,0.0
android.sensor.gyroscope,1524711378513,729788753124,0.017994344,0.06435029,-0.015271631
android.sensor.gyroscope,1524711378533,729808743749,0.03190462,0.07934267,-0.01881465
android.sensor.gyroscope,1524711378553,729828765624,0.043074727,0.06352998,-0.013631022
android.sensor.gyroscope,1524711378573,729848756249,0.058346357,0.048799407,-0.017174039
android.sensor.gyroscope,1524711378593,729868746874,0.051539574,0.054803338,-0.020176006
android.sensor.gyroscope,1524711378613,729888770311,0.05644395,0.08234464,-0.029984757
android.sensor.gyroscope,1524711378633,729908760936,0.0752586,0.12489576,-0.04363323
android.sensor.gyroscope,1524711378653,729928751561,0.11588986,0.17889625,-0.061889376
android.sensor.gyroscope,1524711378673,729948774999,0.15625933,0.225514,-0.067631505
android.sensor.gyroscope,1524711378693,729968764061,0.18298031,0.27869418,-0.07962192
android.sensor.gyroscope,1524711378713,729988754686,0.17751744,0.32669073,-0.10115928
android.sensor.gyroscope,1524711378733,730008746874,0.16634732,0.34796628,-0.11698942
android.sensor.gyroscope,1524711378753,730028768749,0.14234905,0.3359759,-0.11398745
android.sensor.gyroscope,1524711378773,730048759374,0.11098549,0.3095167,-0.10115928
android.sensor.gyroscope,1524711378793,730068749999,0.09489355,0.3029717,-0.08752826
android.sensor.gyroscope,1524711378813,730088773436,0.07143632,0.29942867,-0.08480555
android.sensor.gyroscope,1524711378833,730108764061,0.025900686,0.2874208,-0.08752826
android.sensor.gyroscope,1524711378853,730128754686,-0.025621433,0.26888543,-0.09135053
android.sensor.gyroscope,1524711378873,730148745311,-0.066811204,0.2378011,-0.09843657
android.sensor.gyroscope,1524711378893,730168767186,-0.08126253,0.21760765,-0.105260804
android.sensor.gyroscope,1524711378913,730188757811,-0.08152433,0.21324433,-0.12515756
android.sensor.gyroscope,1524711378933,730208748436,-0.06925467,0.21678734,-0.14779449
android.sensor.gyroscope,1524711378953,730228770311,-0.08016297,0.20916025,-0.16716763
android.sensor.gyroscope,1524711378973,730248762499,-0.11016518,0.19142771,-0.18652333
android.sensor.gyroscope,1524711378993,730268754686,-0.15625933,0.1696111,-0.20479694
android.sensor.gyroscope,1524711379013,730288745311,-0.21488494,0.15053464,-0.2268928
android.sensor.gyroscope,1524711379034,730308765624,-0.26996753,0.14617133,-0.24843016
android.sensor.gyroscope,1524711379053,730328757811,-0.31714377,0.1437104,-0.2647839
android.sensor.gyroscope,1524711379074,730348748436,-0.41259584,0.09243264,-0.25197318
android.sensor.gyroscope,1524711379094,730368771874,-0.47668433,0.0010821042,-0.18516198
android.sensor.gyroscope,1524711379115,730388762499,-0.5996777,-0.12461651,-0.095713854
android.sensor.gyroscope,1524711379135,730408753124,-0.72075117,-0.21678734,-0.014992379
android.sensor.gyroscope,1524711379155,730428743749,-0.82711154,-0.28061405,0.07035422
android.sensor.gyroscope,1524711379175,730448765624,-0.96783745,-0.39950585,0.2252522
android.sensor.gyroscope,1524711379194,730468756249,-1.1475539,-0.5655914,0.455688
android.sensor.gyroscope,1524711379215,730488746874,-1.34989,-0.75293505,0.7382045
android.sensor.gyroscope,1524711379235,730508770311,-1.5557865,-0.9967401,1.1219151
android.sensor.gyroscope,1524711379255,730528760936,-1.7303194,-1.3940817,1.7273175
android.sensor.gyroscope,1524711379275,730548751561,-1.7698686,-2.146755,2.6629884
android.sensor.gyroscope,1524711379295,730568773436,-1.6005193,-3.1988568,3.637912
android.sensor.gyroscope,1524711379313,730588764061,-1.3793511,-4.2114096,4.2561426
android.sensor.gyroscope,1524711379333,730608756249,-1.2901648,-4.746737,4.4715858
android.sensor.gyroscope,1524711379353,730628746874,-1.2610004,-4.826638,4.4350386
android.sensor.gyroscope,1524711379373,730648768749,-1.2394456,-4.6630135,4.2722344
android.sensor.gyroscope,1524711379393,730668759374,-1.2009959,-4.39631,4.0426188
android.sensor.gyroscope,1524711379414,730688751561,-1.1543608,-4.1053286,3.7633662
android.sensor.gyroscope,1524711379433,730708773436,-1.1088251,-3.8165288,3.4658399
android.sensor.gyroscope,1524711379453,730728764061,-1.0575473,-3.5042896,3.1830442
android.sensor.gyroscope,1524711379473,730748754686,-0.996199,-3.1874075,2.915241
android.sensor.gyroscope,1524711379494,730768745311,-0.9154776,-2.842705,2.6479785
android.sensor.gyroscope,1524711379513,730788768749,-0.8126602,-2.5048094,2.4003687
android.sensor.gyroscope,1524711379534,730808759374,-0.7158468,-2.220373,2.1541028
android.sensor.gyroscope,1524711379553,730828749999,-0.6348635,-1.9809487,1.9184834
android.sensor.gyroscope,1524711379573,730848771874,-0.5754002,-1.790865,1.7128661
android.sensor.gyroscope,1524711379593,730868764061,-0.5189562,-1.584148,1.5626107
android.sensor.gyroscope,1524711379613,730888753124,-0.4314105,-1.3436242,1.4551682
android.sensor.gyroscope,1524711379633,730908745311,-0.31932545,-1.1069052,1.3733473
android.sensor.gyroscope,1524711379653,730928767186,-0.24678956,-0.89638364,1.2890828
android.sensor.gyroscope,1524711379673,730948757811,-0.20451768,-0.7431263,1.2149062
android.sensor.gyroscope,1524711379693,730968749999,-0.16552703,-0.59803706,1.158183
android.sensor.gyroscope,1524711379713,730988771874,-0.13007939,-0.43931684,1.1120889
android.sensor.gyroscope,1524711379733,731008760936,-0.093811445,-0.25905922,1.0747389
android.sensor.gyroscope,1524711379753,731028753124,-0.049898963,-0.074717544,1.0370921
android.sensor.gyroscope,1524711379773,731048743749,-0.002443461,0.10471976,0.99838066
android.sensor.gyroscope,1524711379793,731068767186,0.030264009,0.26424286,0.94928455
android.sensor.gyroscope,1524711379813,731088756249,0.05235988,0.3836932,0.90538955
android.sensor.gyroscope,1524711379833,731108748436,0.07361799,0.47095963,0.87266463
android.sensor.gyroscope,1524711379853,731128770311,0.0951728,0.53967327,0.844303
android.sensor.gyroscope,1524711379873,731148760936,0.10988593,0.607584,0.81047857
android.sensor.gyroscope,1524711379893,731168751561,0.13580407,0.6825808,0.78483963
android.sensor.gyroscope,1524711379913,731188743749,0.17235126,0.7815759,0.7723082
android.sensor.gyroscope,1524711379933,731208765624,0.20179497,0.9086533,0.7679449
android.sensor.gyroscope,1524711379953,731228754686,0.21734585,1.0660121,0.766025
android.sensor.gyroscope,1524711379973,731248748436,0.23097688,1.2228125,0.78812087
android.sensor.gyroscope,1524711379993,731268768749,0.23998277,1.4030702,0.8175646
android.sensor.gyroscope,1524711380013,731288760936,0.24760985,1.6179726,0.8328362
android.sensor.gyroscope,1524711380033,731308749999,0.27406904,1.9253076,0.8273908
android.sensor.gyroscope,1524711380054,731328773436,0.30705577,2.3790932,0.742847
android.sensor.gyroscope,1524711380073,731348764061,0.34714597,2.9615967,0.4987802
android.sensor.gyroscope,1524711380093,731368754686,0.3926991,3.6150131,0.07335619
android.sensor.gyroscope,1524711380113,731388745311,0.46659634,4.3196898,-0.5819451
android.sensor.gyroscope,1524711380133,731408768749,0.63622487,5.118981,-1.5107919
android.sensor.gyroscope,1524711380154,731428757811,1.0155548,5.7241216,-2.5443585
android.sensor.gyroscope,1524711380173,731448749999,1.5999608,5.8569407,-3.3019361
android.sensor.gyroscope,1524711380193,731468773436,2.2290995,5.59104,-3.651002
android.sensor.gyroscope,1524711380213,731488762499,2.7903452,5.183628,-3.7055435
android.sensor.gyroscope,1524711380233,731508753124,3.2869437,4.769915,-3.568919
android.sensor.gyroscope,1524711380253,731528745311,3.605187,4.349954,-3.2981138
android.sensor.gyroscope,1524711380273,731548767186,3.8318005,3.891805,-2.9498682
android.sensor.gyroscope,1524711380293,731568757811,3.9267116,3.383757,-2.5749016
android.sensor.gyroscope,1524711380313,731588748436,3.9166236,2.896688,-2.2160096
android.sensor.gyroscope,1524711380333,731608771874,3.8571777,2.4731839,-1.8835768
android.sensor.gyroscope,1524711380353,731628762499,3.7554424,2.0911138,-1.5833278
android.sensor.gyroscope,1524711380373,731648753124,3.6302848,1.7120458,-1.299991
android.sensor.gyroscope,1524711380393,731668743749,3.5083735,1.302993,-1.0240021
android.sensor.gyroscope,1524711380413,731688767186,3.4260116,0.8922996,-0.7409446
android.sensor.gyroscope,1524711380433,731708757811,3.338745,0.46849874,-0.47940704
android.sensor.gyroscope,1524711380454,731728748436,3.2187536,0.058346357,-0.2446079
android.sensor.gyroscope,1524711380473,731748770311,3.1451356,-0.27488935,-0.019076448
android.sensor.gyroscope,1524711380493,731768760936,3.0139568,-0.54349554,0.15489797
android.sensor.gyroscope,1524711380513,731788751561,2.7747943,-0.78047633,0.2713289
android.sensor.gyroscope,1524711380533,731808743749,2.5124538,-0.941099,0.34524357
android.sensor.gyroscope,1524711380554,731828765624,2.2424688,-1.0973758,0.3954218
android.sensor.gyroscope,1524711380573,731848754686,1.9899372,-1.16773,0.42106068
android.sensor.gyroscope,1524711380593,731868746874,1.7434094,-1.1584623,0.42186353
android.sensor.gyroscope,1524711380613,731888768749,1.4788873,-1.0930125,0.39978513
android.sensor.gyroscope,1524711380633,731908760936,1.151638,-1.0406525,0.37386698
android.sensor.gyroscope,1524711380655,731928751561,0.92746794,-0.95883155,0.35260886
android.sensor.gyroscope,1524711380673,731948773436,0.76220274,-0.84156287,0.31932545
android.sensor.gyroscope,1524711380693,731968764061,0.60049796,-0.73357934,0.28633872
android.sensor.gyroscope,1524711380713,731988754686,0.47696358,-0.6981317,0.26424286
android.sensor.gyroscope,1524711380733,732008746874,0.39296088,-0.6869441,0.23942427
android.sensor.gyroscope,1524711380753,732028768749,0.32696998,-0.68448323,0.19416788
android.sensor.gyroscope,1524711380773,732048759374,0.2773328,-0.6645865,0.14016739
android.sensor.gyroscope,1524711380793,732068749999,0.2378011,-0.63948864,0.08180358
android.sensor.gyroscope,1524711380813,732088773436,0.21080087,-0.63458425,0.026720991
android.sensor.gyroscope,1524711380833,732108764061,0.18298031,-0.6449515,-0.014172073
android.sensor.gyroscope,1524711380853,732128753124,0.15079644,-0.6512172,-0.053983033
android.sensor.gyroscope,1524711380873,732148745311,0.118350774,-0.61276764,-0.10115928
android.sensor.gyroscope,1524711380893,732168767186,0.07307693,-0.56941366,-0.1513375
android.sensor.gyroscope,1524711380913,732188757811,0.024260076,-0.49549899,-0.21352358
android.sensor.gyroscope,1524711380933,732208748436,-0.019355701,-0.42296308,-0.27433085
android.sensor.gyroscope,1524711380953,732228771874,-0.084264494,-0.3433237,-0.34252086
android.sensor.gyroscope,1524711380973,732248762499,-0.16198401,-0.23369959,-0.41505674
android.sensor.gyroscope,1524711380993,732268753124,-0.18270107,-0.1977109,-0.4638736
android.sensor.gyroscope,1524711381013,732288745311,-0.17533578,-0.14343116,-0.50096184
android.sensor.gyroscope,1524711381033,732308765624,-0.19715239,-0.08234464,-0.5407728
android.sensor.gyroscope,1524711381053,732328756249,-0.23670155,-0.033527777,-0.57922244
android.sensor.gyroscope,1524711381073,732348748436,-0.23315853,-0.0109083075,-0.59803706
android.sensor.gyroscope,1524711381093,732368770311,-0.23479915,-0.016074482,-0.5972168
android.sensor.gyroscope,1524711381113,732388760936,-0.2077989,-0.0021816615,-0.58548814
android.sensor.gyroscope,1524711381133,732408751561,-0.18352138,0.029984757,-0.5710368
android.sensor.gyroscope,1524711381155,732428743749,-0.19497073,0.04145157,-0.560687
android.sensor.gyroscope,1524711381173,732448765624,-0.19634955,0.06407104,-0.54049355
android.sensor.gyroscope,1524711381193,732468756249,-0.178617,0.09925687,-0.53258723
android.sensor.gyroscope,1524711381213,732488748436,-0.16989034,0.13226105,-0.52522194
